,protein,r2score,rho,p-values,r2_mRNA_protein,r2_mRNA_protein_basic_linear_regression,p-val adj. BH
5561,RAP2B,0.45619055491585425,0.7237849462365591,1.4921525012492103e-21,-0.11231384351736384,0.23057773550272828,6.677126352844007e-21
2745,GSTK1,0.5417420430790859,0.7236620583717357,1.5270766962049511e-21,0.24187428789260823,0.36790494277349434,6.829499095320256e-21
6655,STX5,0.5383684530801971,0.7236006144393241,1.5448369242444102e-21,-0.12107911056051579,0.17359348669878422,6.904979669394158e-21
2610,GLYR1,0.5092623482707062,0.7234592933947772,1.5864545547049416e-21,-0.08425664822248469,0.1718857698879566,7.08694890171448e-21
4830,PDXK,0.5387571494209589,0.7234470046082948,1.5901247998286643e-21,0.1417613706674269,0.25352346383334495,7.099290059509025e-21
210,AIF1L,0.5314725000747679,0.7234297573281784,1.5952899708818552e-21,0.5995491087167517,0.6423778372331004,7.118287593974827e-21
1360,COL12A1,0.48622212019455724,0.7233364055299538,1.6235323921849905e-21,0.47249616064032096,0.5874717886851507,7.24017695078164e-21
5528,RAD21,0.48017869347257347,0.7233118279569892,1.6310488746646606e-21,-0.27125628074977914,0.057859733494092576,7.269552306340157e-21
4587,NUP62,0.4095877219192472,0.7232933947772656,1.636708531135016e-21,0.02119368820629386,0.27792300555406557,7.290623081172036e-21
1645,DCAF8,0.5029515658722898,0.7232073732718893,1.6633748894533258e-21,-0.06440260268649789,0.25043234014814897,7.40518974690035e-21
3867,MFAP1,0.4956997970907262,0.7231520737327187,1.6807411338178307e-21,-0.9190523863546103,0.099112936781582,7.478246387214488e-21
7647,XRCC6,0.510594164940763,0.7231397849462364,1.6846242805437582e-21,-0.6724863906664749,0.11434108261894836,7.491262718825057e-21
1026,CD163,0.5555920560437766,0.7230599078341012,1.710079175082563e-21,0.3720460274899976,0.48745860428599097,7.600135970168072e-21
5809,RPL12,0.48430122915975815,0.7230353302611366,1.717986752382777e-21,-0.5732049453155432,0.03660504890728102,7.630943996103396e-21
3040,IDH3B,0.4733323636470359,0.7230230414746542,1.721953922392139e-21,-0.37963539866156526,0.06598913888719474,7.64422450678281e-21
1989,EHMT2,0.47720445242573184,0.7230126423685951,1.7253180381381134e-21,-0.589181246504942,0.12493304966541315,7.654814347314988e-21
6488,SPAST,0.5843224711542006,0.7230046082949307,1.727921459353641e-21,-0.1496328869422947,0.301450896120526,7.662019078834568e-21
3864,METTL7A,0.5356649410777877,0.7229861751152072,1.733909193773925e-21,0.5412192190913099,0.6077298709562703,7.684214002096113e-21
