gene,category,ensemblGeneId,classification
AC009093.5,1,ENSG00000273582,lncRNA
AC009093.6,1,ENSG00000277999,lncRNA
AC009093.7,1,ENSG00000279106,TEC
AC009093.8,1,ENSG00000284649,transcribed_unprocessed_pseudogene
AC009093.4,1,ENSG00000260953,lncRNA
AC009093.9,1,ENSG00000284671,transcribed_unprocessed_pseudogene
AC009094.1,2,ENSG00000261278,processed_pseudogene
AC009095.1,1,ENSG00000237718,lncRNA
AC009097.1,1,ENSG00000260185,lncRNA
AC009097.3,2,ENSG00000260612,lncRNA
AC009097.4,1,ENSG00000261513,lncRNA
AC009101.1,2,ENSG00000260068,processed_pseudogene
AC009097.2,1,ENSG00000260593,lncRNA
AC009102.2,1,ENSG00000272372,lncRNA
AC009102.3,1,ENSG00000279764,TEC
AC009102.1,1,ENSG00000260198,lncRNA
AC009102.4,1,ENSG00000287866,lncRNA
AC009107.1,2,ENSG00000260867,lncRNA
AC009107.2,1,ENSG00000260927,lncRNA
AC009108.2,2,ENSG00000260387,lncRNA
AC009108.1,1,ENSG00000243697,processed_pseudogene
AC009108.3,1,ENSG00000270020,lncRNA
AC009108.4,1,ENSG00000279142,TEC
AC009108.5,1,ENSG00000280278,TEC
AC009113.1,1,ENSG00000259877,lncRNA
AC009110.1,2,ENSG00000231589,lncRNA
AC009113.2,2,ENSG00000260659,lncRNA
AC009117.1,2,ENSG00000259873,processed_pseudogene
AC009117.2,2,ENSG00000261285,lncRNA
AC009118.1,2,ENSG00000261078,lncRNA
AC009118.2,1,ENSG00000276131,lncRNA
AC009118.3,1,ENSG00000276259,lncRNA
AC009119.1,1,ENSG00000260228,lncRNA
AC009119.2,1,unidentified,unidentified
AC009120.3,1,ENSG00000260884,lncRNA
AC009120.2,1,ENSG00000259972,lncRNA
AC009120.4,1,ENSG00000261248,lncRNA
AC009120.1,1,ENSG00000239763,processed_pseudogene
AC009121.1,2,ENSG00000262703,lncRNA
AC009120.6,2,ENSG00000279100,TEC
AC009120.5,1,ENSG00000275236,lncRNA
AC009121.4,1,unidentified,unidentified
AC009121.5,2,unidentified,unidentified
AC009121.3,1,ENSG00000287429,lncRNA
AC009121.2,2,ENSG00000263080,lncRNA
AC009127.1,1,ENSG00000261765,lncRNA
AC009123.1,1,ENSG00000250685,lncRNA
AC009126.1,1,ENSG00000247121,lncRNA
AC009131.1,2,unidentified,unidentified
AC009127.2,2,ENSG00000263311,unprocessed_pseudogene
AC009132.1,2,ENSG00000261458,unprocessed_pseudogene
AC009133.1,1,ENSG00000238045,lncRNA
AC009133.3,1,ENSG00000260719,lncRNA
AC009133.2,1,ENSG00000259952,lncRNA
AC009133.5,2,ENSG00000280607,lncRNA
AC009133.4,1,ENSG00000275857,lncRNA
AC009134.1,2,ENSG00000262116,lncRNA
AC009135.1,1,ENSG00000257180,lncRNA
AC009135.2,1,ENSG00000280000,TEC
AC009133.6,1,ENSG00000280893,protein_coding
AC009137.1,2,ENSG00000260999,lncRNA
AC009137.2,1,ENSG00000266801,lncRNA
AC009139.1,1,ENSG00000260922,lncRNA
AC009139.2,1,ENSG00000261063,lncRNA
AC009145.1,1,ENSG00000260479,lncRNA
AC009145.2,2,ENSG00000260511,lncRNA
AC009141.1,1,ENSG00000286894,lncRNA
AC009142.1,1,ENSG00000261410,lncRNA
AC009145.3,1,ENSG00000260694,lncRNA
AC009148.1,1,ENSG00000260495,lncRNA
AC009152.1,1,ENSG00000275927,lncRNA
AC009152.3,1,ENSG00000285850,lncRNA
AC009145.4,1,ENSG00000280274,TEC
AC009154.2,2,ENSG00000274478,lncRNA
AC009154.1,2,ENSG00000261161,lncRNA
AC009152.6,1,ENSG00000286849,lncRNA
AC009153.1,1,ENSG00000240861,processed_pseudogene
AC009158.1,2,ENSG00000231876,lncRNA
AC009159.1,2,ENSG00000275040,lncRNA
AC009159.2,1,ENSG00000277214,lncRNA
AC009159.3,1,ENSG00000278058,lncRNA
AC009161.1,3,ENSG00000237901,processed_pseudogene
AC009161.2,3,ENSG00000280261,TEC
AC009159.4,1,ENSG00000279378,TEC
AC009163.1,1,ENSG00000203472,lncRNA
AC009163.2,2,ENSG00000260092,protein_coding
AC009163.3,1,ENSG00000261476,lncRNA
AC009163.7,1,unidentified,unidentified
AC009163.4,1,ENSG00000261717,protein_coding
AC009163.5,1,ENSG00000273971,lncRNA
AC009163.6,2,ENSG00000274220,lncRNA
AC009166.1,2,ENSG00000261238,lncRNA
AC009166.2,1,ENSG00000280344,TEC
AC009166.3,2,ENSG00000287718,lncRNA
AC009169.1,2,ENSG00000261178,unprocessed_pseudogene
AC009167.1,1,ENSG00000261523,lncRNA
AC009171.1,2,ENSG00000262471,processed_pseudogene
AC009171.2,2,ENSG00000263105,lncRNA
AC009185.1,1,ENSG00000253653,lncRNA
AC009220.2,1,ENSG00000239254,processed_pseudogene
AC009220.1,2,ENSG00000228360,processed_pseudogene
AC009220.3,1,ENSG00000271537,processed_pseudogene
AC009228.2,2,unidentified,unidentified
AC009227.1,1,ENSG00000224675,lncRNA
AC009226.1,1,ENSG00000223725,lncRNA
AC009229.1,1,ENSG00000227292,lncRNA
AC009227.2,2,ENSG00000238004,lncRNA
AC009229.3,1,ENSG00000273006,lncRNA
AC009229.2,2,ENSG00000229160,lncRNA
AC009228.1,1,ENSG00000242628,lncRNA
AC009229.4,1,ENSG00000280276,TEC
AC009230.1,1,ENSG00000286335,lncRNA
AC009233.1,2,ENSG00000274837,processed_pseudogene
AC009234.1,2,ENSG00000283058,lncRNA
AC009236.1,1,ENSG00000286519,lncRNA
AC009236.2,1,ENSG00000286728,lncRNA
AC009237.1,2,ENSG00000223917,unprocessed_pseudogene
AC009237.10,2,ENSG00000237308,processed_pseudogene
AC009237.11,2,ENSG00000238162,processed_pseudogene
AC009237.13,2,ENSG00000271003,unprocessed_pseudogene
AC009237.16,2,ENSG00000274028,unprocessed_pseudogene
AC009237.17,2,ENSG00000275497,unprocessed_pseudogene
AC009237.12,2,ENSG00000270193,processed_pseudogene
AC009237.14,1,ENSG00000272913,lncRNA
AC009237.15,1,ENSG00000273305,lncRNA
AC009237.3,1,ENSG00000229689,transcribed_unprocessed_pseudogene
AC009237.5,1,ENSG00000233037,processed_pseudogene
AC009237.6,1,ENSG00000235959,processed_pseudogene
AC009237.7,2,ENSG00000236026,processed_pseudogene
AC009237.2,2,ENSG00000224719,unprocessed_pseudogene
AC009237.8,1,ENSG00000236431,processed_pseudogene
AC009237.9,1,ENSG00000236750,processed_pseudogene
AC009238.1,1,ENSG00000227120,processed_pseudogene
AC009238.2,1,ENSG00000233275,processed_pseudogene
AC009237.4,2,ENSG00000230083,processed_pseudogene
AC009242.1,1,ENSG00000283031,lncRNA
AC009244.1,1,ENSG00000238072,processed_pseudogene
AC009248.1,1,ENSG00000257738,processed_pseudogene
AC009248.2,1,ENSG00000278351,lncRNA
AC009238.3,2,ENSG00000248821,unprocessed_pseudogene
AC009244.2,1,ENSG00000286722,lncRNA
AC009248.3,1,ENSG00000287386,lncRNA
AC009262.1,1,ENSG00000236212,lncRNA
AC009245.1,1,ENSG00000230383,processed_pseudogene
AC009263.1,1,ENSG00000234639,processed_pseudogene
AC009268.1,1,ENSG00000259505,processed_pseudogene
AC009268.3,1,ENSG00000287840,lncRNA
AC009269.1,2,ENSG00000259452,processed_pseudogene
AC009268.2,1,ENSG00000278472,lncRNA
AC009264.1,1,ENSG00000234352,lncRNA
AC009269.2,1,ENSG00000259532,lncRNA
AC009269.5,1,ENSG00000274297,lncRNA
AC009271.1,1,ENSG00000267327,lncRNA
AC009269.4,1,ENSG00000259744,lncRNA
AC009271.2,1,ENSG00000287248,lncRNA
AC009276.1,2,ENSG00000224375,lncRNA
AC009269.3,2,ENSG00000259624,lncRNA
AC009283.1,1,unidentified,unidentified
AC009275.1,1,ENSG00000273297,lncRNA
AC009299.1,1,ENSG00000225813,processed_pseudogene
AC009299.2,1,ENSG00000232320,processed_pseudogene
AC009292.2,2,ENSG00000259410,lncRNA
AC009296.1,2,ENSG00000228085,processed_pseudogene
AC009292.1,1,ENSG00000245719,lncRNA
AC009301.1,2,ENSG00000285984,lncRNA
AC009302.1,1,ENSG00000233868,processed_pseudogene
AC009303.1,1,ENSG00000224967,processed_pseudogene
AC009303.4,1,ENSG00000279227,TEC
AC009305.1,2,ENSG00000234579,lncRNA
AC009309.1,2,ENSG00000273080,lncRNA
AC009309.2,1,unidentified,unidentified
AC009310.1,1,ENSG00000225911,processed_pseudogene
AC009303.3,1,ENSG00000272895,lncRNA
AC009312.1,1,ENSG00000238207,lncRNA
AC009303.2,1,ENSG00000235066,lncRNA
AC009313.2,1,ENSG00000232337,processed_pseudogene
AC009314.1,2,ENSG00000271081,processed_pseudogene
AC009315.1,1,ENSG00000286797,lncRNA
AC009313.1,2,ENSG00000224467,lncRNA
AC009318.3,1,ENSG00000274315,lncRNA
AC009318.2,1,ENSG00000273680,lncRNA
AC009318.4,1,ENSG00000275476,lncRNA
AC009336.1,2,ENSG00000272729,lncRNA
AC009320.1,2,ENSG00000257456,lncRNA
AC009336.2,1,ENSG00000279160,TEC
AC009318.1,1,ENSG00000257176,lncRNA
AC009362.1,2,ENSG00000233287,processed_pseudogene
AC009319.1,1,ENSG00000236182,processed_pseudogene
AC009365.2,3,ENSG00000225881,lncRNA
AC009365.4,1,unidentified,unidentified
AC009365.3,2,ENSG00000227197,lncRNA
AC009365.1,2,ENSG00000183470,lncRNA
AC009396.2,1,ENSG00000258719,lncRNA
AC009396.3,2,ENSG00000258874,lncRNA
AC009396.1,1,ENSG00000258478,lncRNA
AC009403.3,2,ENSG00000287610,lncRNA
AC009403.2,1,ENSG00000283128,protein_coding
AC009387.1,2,ENSG00000257781,lncRNA
AC009408.1,2,unidentified,unidentified
AC009404.1,1,ENSG00000236255,lncRNA
AC009407.1,1,ENSG00000261829,lncRNA
AC009408.2,3,unidentified,unidentified
AC009403.1,1,ENSG00000216895,lncRNA
AC009410.1,2,ENSG00000286772,lncRNA
AC009411.2,2,ENSG00000235537,lncRNA
AC009411.1,1,ENSG00000228538,lncRNA
AC009412.1,1,ENSG00000286075,protein_coding
AC009413.2,1,ENSG00000287145,lncRNA
AC009432.1,1,ENSG00000259331,lncRNA
AC009413.1,2,ENSG00000236533,processed_pseudogene
AC009434.1,2,ENSG00000287741,lncRNA
AC009464.1,1,ENSG00000278475,lncRNA
AC009446.1,2,ENSG00000254277,lncRNA
AC009452.1,2,ENSG00000284242,unprocessed_pseudogene
AC009432.2,1,ENSG00000285866,lncRNA
AC009468.2,2,ENSG00000234105,lncRNA
AC009468.1,2,ENSG00000228627,lncRNA
AC009474.1,1,ENSG00000224071,processed_pseudogene
AC009435.1,1,ENSG00000253880,lncRNA
AC009477.1,2,ENSG00000225448,processed_pseudogene
AC009480.1,1,ENSG00000223911,lncRNA
AC009478.1,2,ENSG00000225258,lncRNA
AC009486.1,1,ENSG00000261117,lncRNA
AC009474.2,2,ENSG00000230355,processed_pseudogene
AC009487.1,2,ENSG00000224076,lncRNA
AC009486.2,1,ENSG00000286427,lncRNA
AC009492.1,2,unidentified,unidentified
AC009480.2,2,ENSG00000229143,processed_pseudogene
AC009487.2,2,ENSG00000226121,processed_pseudogene
AC009487.3,1,ENSG00000251621,lncRNA
AC009494.1,2,ENSG00000216844,processed_pseudogene
AC009495.1,1,ENSG00000229195,lncRNA
AC009494.2,2,ENSG00000286247,lncRNA
AC009495.2,1,unidentified,unidentified
AC009495.3,1,ENSG00000235192,lncRNA
AC009500.1,2,ENSG00000236748,processed_pseudogene
AC009501.1,1,ENSG00000232403,processed_pseudogene
AC009498.1,2,ENSG00000237271,lncRNA
AC009501.2,2,ENSG00000270437,processed_pseudogene
AC009501.3,1,ENSG00000286480,lncRNA
AC009502.1,2,ENSG00000227308,lncRNA
AC009505.1,1,ENSG00000234162,lncRNA
AC009506.2,1,ENSG00000225369,processed_pseudogene
AC009506.1,2,ENSG00000224152,lncRNA
AC009509.1,2,ENSG00000256377,lncRNA
AC009509.2,1,ENSG00000256504,lncRNA
AC009509.5,1,unidentified,unidentified
AC009509.3,2,ENSG00000256557,processed_pseudogene
AC009511.1,2,ENSG00000256512,lncRNA
AC009509.4,1,ENSG00000276261,lncRNA
AC009511.3,2,unidentified,unidentified
AC009511.2,2,ENSG00000256747,lncRNA
AC009517.1,2,ENSG00000224469,processed_pseudogene
AC009518.2,2,ENSG00000233263,processed_pseudogene
AC009518.1,2,ENSG00000224865,lncRNA
AC009522.1,1,ENSG00000258216,lncRNA
AC009531.1,2,ENSG00000226063,lncRNA
AC009533.1,1,ENSG00000111788,unprocessed_pseudogene
AC009533.5,1,unidentified,unidentified
AC009533.3,2,unidentified,unidentified
AC009533.2,1,ENSG00000255753,processed_pseudogene
AC009533.4,1,unidentified,unidentified
AC009542.2,1,ENSG00000276067,transcribed_unprocessed_pseudogene
AC009549.1,1,ENSG00000270607,lncRNA
AC009542.1,1,ENSG00000231794,lncRNA
AC009554.2,1,ENSG00000285863,lncRNA
AC009554.1,1,ENSG00000259564,lncRNA
AC009558.2,1,ENSG00000259740,lncRNA
AC009558.1,2,ENSG00000259360,lncRNA
AC009560.1,1,ENSG00000273958,lncRNA
AC009560.4,1,unidentified,unidentified
AC009560.3,1,ENSG00000287508,lncRNA
