trial_index,arm_name,trial_status,generation_method,val_loss,block1_exists,block2_exists,fc2,hidden_size2,dropout2,fc3,dropout3,addMRNA,learning_rate,batch_size,block2_type,activation2,block3_type,activation3,root,hidden_size1,dropout1,resNetComplexConnections2,block1_type,resNetType1,activation1,resNetType2,fc1,resNetComplexConnections1
188,188_0,COMPLETED,BoTorch,0.704106330871582,True,True,,617.0,0.6680058567995674,2.0,0.8861631453327232,True,0.0001,64,resnet,sigmoid,fully_connect,tanh,true,449.0,0.739776035022293,,fully_connect,,sigmoid,simple,1.0,
58,58_0,COMPLETED,BoTorch,0.7043654918670654,True,True,,345.0,0.7678324020297679,1.0,0.9,True,0.0001132061207657225,64,resnet,sigmoid,fully_connect,tanh,true,608.0,0.4570551559319887,,fully_connect,,sigmoid,simple,1.0,
54,54_0,COMPLETED,BoTorch,0.7045572996139526,True,True,,334.0,0.7743997182785513,1.0,0.9,True,0.00011594432155944879,64,resnet,sigmoid,fully_connect,tanh,true,481.0,0.4708932207645583,,fully_connect,,sigmoid,simple,1.0,
164,164_0,COMPLETED,BoTorch,0.7051658630371094,True,True,,314.0,0.7429302809550895,1.0,0.9,True,0.00011790020577941185,64,resnet,sigmoid,fully_connect,tanh,true,523.0,0.3046495348692809,,fully_connect,,sigmoid,simple,1.0,
190,190_0,COMPLETED,BoTorch,0.7082492113113403,True,True,,476.0,0.6185346879036923,1.0,0.8743093479224943,True,0.0001,64,resnet,sigmoid,fully_connect,tanh,true,441.0,0.6111999520320528,,fully_connect,,sigmoid,simple,1.0,
146,146_0,COMPLETED,BoTorch,0.7087079882621765,True,True,,303.0,0.7144026642937613,1.0,0.8682859406996475,True,0.00010046838741480191,64,resnet,sigmoid,fully_connect,tanh,true,448.0,0.17765571383397089,,fully_connect,,sigmoid,simple,1.0,
42,42_0,COMPLETED,BoTorch,0.70961594581604,True,True,,371.0,0.7015060448593081,1.0,0.8952379855052635,True,0.00017330534711090527,64,resnet,sigmoid,fully_connect,tanh,true,585.0,0.5173674718232676,,fully_connect,,sigmoid,simple,1.0,
49,49_0,COMPLETED,BoTorch,0.7159921526908875,True,True,,328.0,0.7476537115479941,1.0,0.8399685550320216,True,0.0001001067046799445,64,resnet,sigmoid,fully_connect,tanh,true,593.0,0.3961682098734592,,fully_connect,,sigmoid,simple,1.0,
98,98_0,COMPLETED,BoTorch,0.7165018320083618,True,True,,336.0,0.8660107204818634,1.0,0.8335678710923403,True,0.0001,128,resnet,sigmoid,fully_connect,tanh,true,389.0,0.3056083269638844,,fully_connect,,sigmoid,simple,1.0,
197,197_0,COMPLETED,BoTorch,0.7165905237197876,False,True,,720.0,0.19950625411548523,,0.268453510807999,True,0.0001,128,resnet,selu,resnet,sigmoid,true,,,31.0,,,,complex,,
105,105_0,COMPLETED,BoTorch,0.7166019678115845,True,True,1.0,1000.0,0.0,,0.686067882359779,True,0.00014042916775706656,128,fully_connect,selu,resnet,leaky_relu_steep,true,849.0,0.0788686486030541,,fully_connect,,leaky_relu_steep,,3.0,
198,198_0,COMPLETED,BoTorch,0.7169943451881409,False,True,,788.0,0.095854194302282,,0.25762507154682185,True,0.0001,128,resnet,selu,resnet,sigmoid,true,,,31.0,,,,complex,,
