trial_index,arm_name,trial_status,generation_method,val_loss,block1_exists,block2_exists,fc2,hidden_size2,dropout2,fc3,dropout3,addMRNA,learning_rate,batch_size,block2_type,activation2,block3_type,activation3,root,fc1,hidden_size1,dropout1,block1_type,activation1,resNetComplexConnections1,resNetType1,resNetType2,resNetComplexConnections2
78,78_0,COMPLETED,BoTorch,0.8099141716957092,False,True,3.0,236.0,0.24767200439816248,,0.18224081143977947,False,0.000590585566360059,64,fully_connect,leaky_relu_steep,resnet,tanh,true,,,,,,,,,
39,39_0,COMPLETED,BoTorch,0.811328649520874,False,True,3.0,293.0,0.348871632930397,,0.1559633834154455,False,0.0004952768655104344,128,fully_connect,leaky_relu_steep,resnet,tanh,true,,,,,,,,,
40,40_0,COMPLETED,BoTorch,0.8115493655204773,False,True,3.0,200.0,0.2516113576433465,,0.08519591930459391,False,0.0009216906041975987,128,fully_connect,leaky_relu_steep,resnet,tanh,true,,,,,,,,,
90,90_0,COMPLETED,BoTorch,0.812065064907074,False,False,,,,,0.2796393777476495,True,0.0009376850763854664,32,,,resnet,leaky_relu_steep,true,,,,,,,,,
92,92_0,COMPLETED,BoTorch,0.8128657937049866,False,False,,,,,0.3025308256257328,True,0.0010315943624754896,32,,,resnet,leaky_relu_steep,true,,,,,,,,,
14,14_0,COMPLETED,Sobol,0.8154779672622681,False,True,3.0,276.0,0.4992566630244255,,0.1467713733203709,False,0.0007294729466048676,128,fully_connect,leaky_relu_steep,resnet,tanh,true,,,,,,,,,
76,76_0,COMPLETED,BoTorch,0.8171374201774597,False,True,3.0,264.0,0.3348332123412003,,0.03578857958001364,False,0.0006181966285738645,128,fully_connect,leaky_relu_steep,resnet,tanh,true,,,,,,,,,
24,24_0,COMPLETED,BoTorch,0.818856954574585,False,True,3.0,309.0,0.4839186263168143,,0.11031766827777345,False,0.0006243042247154925,128,fully_connect,leaky_relu_steep,resnet,tanh,true,,,,,,,,,
88,88_0,COMPLETED,BoTorch,0.8195227980613708,False,False,,,,,0.38448932934779784,True,0.0008445130214395613,32,,,resnet,leaky_relu_steep,true,,,,,,,,,
98,98_0,COMPLETED,BoTorch,0.8207021951675415,False,False,,,,,0.18343845782415782,False,0.0010145255495080923,64,,,resnet,tanh,true,,,,,,,,,
