protein,r2score,rho,p-values,r2_mRNA_protein,r2_mRNA_protein_basic_linear_regression,p-val adj. BH
MTPAP,0.49076753854751587,0.7784884792626727,1.20958335510793e-26,0.41406047344207764,0.4662414422090632,1.2515027782611413e-25
SRPRA,0.6015216112136841,0.778427035330261,1.2278748374539452e-26,-0.03588879108428955,0.3304315990648237,1.2687499311181982e-25
LTBP4,0.5665221810340881,0.778390168970814,1.2389793785497124e-26,0.2835506200790405,0.40855770625554844,1.2785351845667348e-25
FHL3,0.5805662870407104,0.7783041474654377,1.2652735985345574e-26,-0.03869962692260742,0.20799911335916701,1.3039486281603832e-25
GMPS,0.6094109416007996,0.7781505376344084,1.3135925432450126e-26,0.5331563353538513,0.5852568336364737,1.3519632727976958e-25
GNAI2,0.5908190608024597,0.778060462820287,1.342761255410662e-26,0.2416059970855713,0.4039642776209385,1.3801680078609987e-25
MDH2,0.5764381885528564,0.7778125960061443,1.426338752030462e-26,0.00574725866317749,0.2893452286758465,1.4641498318086971e-25
FASTKD5,0.5814641118049622,0.7777818740399384,1.4370459744370612e-26,0.19844835996627808,0.40846701744902875,1.4732075507269585e-25
VASP,0.5629490613937378,0.7777388632872503,1.4521683449884008e-26,0.32947999238967896,0.40340178026288637,1.4867618840967632e-25
DOCK1,0.5668705105781555,0.7777081413210444,1.4630652785236923e-26,0.08564513921737671,0.2834395071796353,1.4959603409950746e-25
PDK1,0.5659815073013306,0.7776589861751151,1.4806670381766104e-26,0.33203762769699097,0.42859117644000083,1.5119814063469251e-25
NFIX,0.6160078644752502,0.7776275772510826,1.4920224710686636e-26,0.07155841588973999,0.3155176040364181,1.5215905826204807e-25
GSR,0.6502610445022583,0.7775913978494622,1.5052082509462794e-26,0.10875457525253296,0.3136731337004372,1.5330389243361716e-25
TPM1,0.5585803389549255,0.7775791090629799,1.5097128600199452e-26,-0.3108280897140503,0.10432300096039798,1.535627307031991e-25
VWA5A,0.5968029499053955,0.7774254992319507,1.5671459014935723e-26,0.6425571441650391,0.6773659059098377,1.5919760053873667e-25
SF3B3,0.5432872772216797,0.7774070660522273,1.5741799364472662e-26,0.05063164234161377,0.27472905804969033,1.597047401153115e-25
JCAD,0.5103458166122437,0.7773026113671273,1.6146269600991185e-26,0.5213932394981384,0.5540001536956348,1.635960114235143e-25
OCIAD2,0.5749056339263916,0.777290322580645,1.6194517857146234e-26,0.6368778944015503,0.6651455720985456,1.6387259854928569e-25
HSDL2,0.5822493433952332,0.7771367127496159,1.6809656991874373e-26,0.4173133373260498,0.5422671212355703,1.6987743797214646e-25
PCCB,0.533747136592865,0.7770998463901688,1.6960659460235178e-26,-0.6513100862503052,0.0046749179199916,1.7118229457801233e-25
TRMT5,0.5219735503196716,0.777069124423963,1.708750824658339e-26,-0.013572335243225098,0.265188554131102,1.7224032152677227e-25
DCAF13,0.527328372001648,0.776884792626728,1.786832949018045e-26,0.19066119194030762,0.3280118021814942,1.798791161804266e-25
SORD,0.5732544660568237,0.7768540706605223,1.8001817548908168e-26,0.5590134859085083,0.6193834961654039,1.8098999597372711e-25
GALNT1,0.5788649320602417,0.7768233486943164,1.8136281401304784e-26,0.4132559895515442,0.5025895879472982,1.8210782172144546e-25
TMOD3,0.569054126739502,0.776811059907834,1.8190341725316905e-26,-0.11072254180908203,0.13705024265589458,1.824164781736267e-25
DLG3,0.6037179231643677,0.7767987711213516,1.8244559740408003e-26,0.07935577630996704,0.3046159393404587,1.8272592354605815e-25
COQ8A,0.5714329481124878,0.7767864823348694,1.8298935896425444e-26,0.35748910903930664,0.4326740957815343,1.8280239665624498e-25
KRI1,0.6335933208465576,0.7767864823348694,1.8298935896425444e-26,0.15031421184539795,0.3987498083871662,1.8280239665624498e-25
PPP1R13L,0.5907526612281799,0.7767741935483871,1.8353470644469433e-26,0.4812716841697693,0.5236921932104411,1.8311332574112233e-25
FOSL2,0.4525202512741089,0.7767418672709779,1.84976877133662e-26,-0.40100789070129395,0.12208637629788349,1.8431708699866295e-25
DDB2,0.5996850728988647,0.7767188940092165,1.8600851745477587e-26,0.29281705617904663,0.49200919577839763,1.8510923963501994e-25
CNN2,0.6211355328559875,0.7767066052227342,1.865626686946251e-26,-0.1312859058380127,0.3045593918826604,1.8542480235442916e-25
BAIAP2L1,0.5929654836654663,0.7766101988724649,1.9096643990614987e-26,0.6931235790252686,0.7097242677338638,1.8956084935861729e-25
ACLY,0.5732306838035583,0.7765714285714285,1.9276597836231588e-26,0.19789481163024902,0.4353752902111565,1.9110462392269137e-25
UTP25,0.5368514060974121,0.7764915514592933,1.965259780865387e-26,0.36067163944244385,0.4894752009012375,1.9458559501176021e-25
PHF6,0.5288461446762085,0.7764116743471581,2.0035772182881105e-26,0.14923375844955444,0.36705723327199985,1.9812871051137295e-25
RCN1,0.5762611627578735,0.7764055299539169,2.0065548120918076e-26,0.6177469491958618,0.6533193906395572,1.9817262298209746e-25
CLIC4,0.5460958480834961,0.7761781874039938,2.1198226720311315e-26,0.16709738969802856,0.38902802897376093,2.09095245152932e-25
PSME4,0.5980563759803772,0.7761228878648232,2.1483067388983598e-26,0.3117303252220154,0.39182089306688994,2.1163797621741777e-25
DDX3X,0.5723134875297546,0.7758341013824884,2.3032517198525924e-26,-0.2508406639099121,0.17360776984708948,2.2661679185769785e-25
RBKS,0.5808151364326477,0.7757050691244239,2.3759682526759556e-26,0.31490427255630493,0.422466069749925,2.334776843270267e-25
CDH1,0.6311695575714111,0.7756927803379415,2.3830096790008756e-26,0.1274089217185974,0.47249971800792673,2.338758056354435e-25
TYMP,0.6185431480407715,0.7756620583717356,2.4007027104622144e-26,0.6082617044448853,0.6358368014701049,2.3531700001548174e-25
HSPA9,0.5200868844985962,0.7756251920122887,2.4221040936541576e-26,0.004638552665710449,0.2622556162490813,2.371176247880203e-25
COPB2,0.6398610472679138,0.7755145929339478,2.4874346358060983e-26,-0.23836731910705566,0.22656491571797413,2.4320892151594126e-25
FHL1,0.5957602262496948,0.7753548387096773,2.5848551766305637e-26,0.5945879220962524,0.6220204220686169,2.5241869153064004e-25
NARS1,0.6322076320648193,0.7752933947772656,2.623310484683477e-26,0.5200737714767456,0.5667622790513884,2.5585454627424135e-25
